flag,eez,fishing_vessels,fishing_days,fishing_hours,fishing_KwH,start_lat,start_lon,end_lon,end_lat
Iceland,Canada,1,104,1848.4448611111102,1845191.5981555558,64.6994946389,-18.4548612676,-63.744311,44.68198659999999
Iceland,Russia,13,968,18487.34680555555,88677226.74802233,64.6994946389,-18.4548612676,93.5554082721,71.3259188065
Iceland,Turkey,2,7,27.030972222222225,191831.50548880416,64.6994946389,-18.4548612676,33.2205977618,40.5222437012
Iceland,Western Sahara,1,37,473.8308333333328,2384316.753333332,64.6994946389,-18.4548612676,-17.6951303974,23.3411860745
India,Myanmar,1,2,8.388055555555555,6011.572709575,14.5979955792,76.0853171614,94.655511075,14.9965421677
India,Pakistan,1,3,53.167638888888874,49853.851484715284,14.5979955792,76.0853171614,64.7122448427,23.5394045623
India,Sri Lanka,1,2,4.659027777777778,6733.033268659723,14.5979955792,76.0853171614,81.6360736851,6.5463774611
India,Tunisia,1,10,191.02249999999995,30122.658942800008,14.5979955792,76.0853171614,11.0531894413,36.0013257587
Indonesia,Bangladesh,1,6,90.67708333333334,47484.219888020816,-3.30903479808,117.898147552,90.5397686404,20.4111789845
Indonesia,Brunei,1,23,349.08263888888877,196370.09218456945,-3.30903479808,117.898147552,114.040513079,5.37283237294
Indonesia,Canary Islands,1,4,66.29319444444445,62945.268134318074,-3.30903479808,117.898147552,-17.6139556167,28.367147652
Indonesia,East Timor,1,2,16.5525,9311.30795055,-3.30903479808,117.898147552,126.81268257,-9.77185441186
Indonesia,India,1,6,53.31930555555555,29993.805995302777,-3.30903479808,117.898147552,76.0853171614,14.5979955792
Indonesia,Malaysia,2,12,231.35180555555564,129271.11558720273,-3.30903479808,117.898147552,108.435167801,4.85143661206
Indonesia,Mauritania,3,239,3680.651527777779,1713446.195691727,-3.30903479808,117.898147552,-17.9181448954,18.2466224476
Indonesia,Myanmar,1,2,26.252222222222226,13747.313507722221,-3.30903479808,117.898147552,94.655511075,14.9965421677
Indonesia,Singapore,16,1637,7651.168333333333,2004114.3613908777,-3.30903479808,117.898147552,103.816427663,1.27428184632
Indonesia,Western Sahara,2,19,122.55069444444447,53625.88256754583,-3.30903479808,117.898147552,-17.6951303974,23.3411860745
Iran,Kuwait,4,45,439.2279166666667,120900.81626924581,29.7820224927,53.8860317307,48.6290824971,29.1845911752
Iran,Oman,5,123,809.4241666666666,456282.25779175,29.7820224927,53.8860317307,58.6699806823,18.9491464112
Iran,Qatar,1,3,33.478472222222216,11998.80094952778,29.7820224927,53.8860317307,51.867444042,25.8805051284
Iran,Saudi Arabia,7,74,734.2674999999999,236818.3355345375,29.7820224927,53.8860317307,40.4817099566,22.453897246
Iran,United Arab Emirates,5,72,914.9118055555555,482245.5470167084,29.7820224927,53.8860317307,53.864742889,24.9443383341
Ireland,Namibia,1,24,246.87444444444446,790792.3210289667,52.652694236,-11.7463132477,12.2854741973,-23.649686501
Israel,Cyprus,2,12,161.37402777777774,56356.22779973194,32.6113556487,34.0976418872,32.6352575462,34.4892906437
Israel,Egypt,1,2,16.267361111111114,5583.378681944447,32.6113556487,34.0976418872,31.149135591,30.4508234116
Israel,Lebanon,1,2,11.659722222222225,4827.507322291666,32.6113556487,34.0976418872,34.9039215283,33.9094237826
Italy,Albania,39,546,6826.702361111111,1989884.6992257736,39.6552300897,12.9279072597,19.1130007712,40.927083965
Italy,Algeria,5,26,281.9938888888889,112259.93644722222,39.6552300897,12.9279072597,3.53979379733,37.2034369817
Italy,Angola,2,681,12558.525694444443,9037092.246568142,39.6552300897,12.9279072597,11.0353708514,-11.701097795
Italy,Democratic Republic of the Congo,2,11,53.44236111111111,42690.560596594434,39.6552300897,12.9279072597,10.7325554821,-6.40152598619
Italy,Egypt,3,24,324.69,90542.30547949723,39.6552300897,12.9279072597,31.149135591,30.4508234116
